year,month,state,latitude,longitude,firespots,firespots2
2001,12,MARANHAO,-2.845481315,-45.91014151,966,0.025470653
2001,12,MATO GROSSO,-12.89537864,-56.43415909,22,0.000580077
2001,12,PARA,-2.29291643,-50.12971863,2566,0.067658071
2001,12,RONDONIA,-9.69833,-62.8183,1,2.63671E-05
2001,12,RORAIMA,1.701096579,-60.08412368,76,0.002003902
2001,12,TOCANTINS,-5.8505,-48.34884,10,0.000263671
2002,1,AMAPA,0.862141429,-50.75738571,7,0.00018457
2002,1,AMAZONAS,-4.072647059,-62.48705882,17,0.000448241
2002,1,MARANHAO,-3.428635909,-46.54787727,22,0.000580077
2002,1,MATO GROSSO,-14.06157333,-57.49135222,90,0.002373042
2002,1,PARA,-2.861956319,-51.52365556,144,0.003796868
2002,1,RONDONIA,-11.51777167,-61.64138333,6,0.000158203
2002,1,RORAIMA,2.66543043,-60.41371391,302,0.007962875
2002,1,TOCANTINS,-6.444165,-48.55335,2,5.27343E-05
2002,2,ACRE,-8.6,-69.7767,1,2.63671E-05
2002,2,AMAPA,-0.185,-51.5242,2,5.27343E-05
2002,2,AMAZONAS,-0.379165,-62.93835,2,5.27343E-05
2002,2,MARANHAO,-4.194325952,-46.8546881,42,0.00110742
2002,2,MATO GROSSO,-12.42578467,-54.11889333,15,0.000395507
2002,2,PARA,-4.099596833,-49.15441333,120,0.003164056
2002,2,RONDONIA,-9.6316625,-63.81355,8,0.000210937
2002,2,RORAIMA,2.030462227,-60.49896912,476,0.012550757
2002,2,TOCANTINS,-6.89167,-48.9967,1,2.63671E-05
2002,3,AMAZONAS,-2.018,-60.12466,5,0.000131836
2002,3,MARANHAO,-3.684165,-45.68415,2,5.27343E-05
2002,3,MATO GROSSO,-12.90433897,-55.46306897,58,0.001529294
2002,3,PARA,-5.425715,-50.4925,14,0.00036914
2002,3,RONDONIA,-10.1667,-64.955,1,2.63671E-05
2002,3,RORAIMA,2.517665934,-60.88667424,819,0.021594684
2002,3,TOCANTINS,-6.783335,-48.4625,2,5.27343E-05
2002,4,AMAZONAS,-3.05833,-63.65833,2,5.27343E-05
2002,4,MARANHAO,-3.440475714,-45.28738143,7,0.00018457
2002,4,MATO GROSSO,-12.50180824,-55.38212135,341,0.008991193
2002,4,PARA,-8.166819091,-49.72363636,11,0.000290038
2002,4,RONDONIA,-10.33389,-62.27888667,3,7.91014E-05
2002,4,RORAIMA,3.043902683,-61.02821171,41,0.001081053
2002,5,AMAPA,2.776666667,-51.73888667,3,7.91014E-05
2002,5,AMAZONAS,-5.85104,-64.30541625,8,0.000210937
